ShapedRewardPerEpisode,ShapedRewardCumulative,Pysc2RewardPerEpisode,Pysc2RewardCumulative,MeanLossPerEpisode,Epsilon,MergeDummy
207.78457038104534,1620271.4589902163,22,172161,1.84360074921979e+24,0.0,0
208.08498011529446,1620479.5439703315,22,172183,1.6045623631355148e+24,0.0,0
207.2249886840582,1620686.7689590156,22,172205,1.8027658547936843e+24,0.0,0
229.22669352591038,1620915.9956525415,24,172229,1.6661628150114705e+24,0.0,0
186.72815097868443,1621102.7238035202,20,172249,1.8135517236996576e+24,0.0,0
186.96898329257965,1621289.6927868128,20,172269,1.9239291139013913e+24,0.0,0
187.27475951611996,1621476.967546329,20,172289,1.8306109267425728e+24,0.0,0
175.97818239033222,1621652.9457287192,19,172308,1.720062471812593e+24,0.0,0
197.37732170522213,1621850.3230504245,21,172329,1.9211194441946645e+24,0.0,0
197.72159430384636,1622048.0446447283,21,172350,1.7826299366005377e+24,0.0,0
228.7380095720291,1622276.7826543003,24,172374,1.9104307089254544e+24,0.0,0
208.55282236635685,1622485.3354766667,22,172396,1.754746385896433e+24,0.0,0
176.3719744682312,1622661.707451135,19,172415,1.56746408730584e+24,0.0,0
208.29178394377232,1622869.9992350787,22,172437,1.7731261164076873e+24,0.0,0
187.0996294617653,1623057.0988645405,20,172457,1.6694725644208206e+24,0.0,0
208.39735408127308,1623265.4962186217,22,172479,1.8945330742984306e+24,0.0,0
208.40836887061596,1623473.9045874923,22,172501,1.6728713770164016e+24,0.0,0
208.47480304539204,1623682.3793905377,22,172523,1.8641655542126504e+24,0.0,0
187.00067035853863,1623869.3800608963,20,172543,1.7565345671500782e+24,0.0,0
207.99102433025837,1624077.3710852265,22,172565,1.7470857989590728e+24,0.0,0
177.02894608676434,1624254.4000313133,19,172584,1.6541446171322607e+24,0.0,0
196.9313863813877,1624451.3314176947,21,172605,1.9658192197345884e+24,0.0,0
176.5121171027422,1624627.8435347974,19,172624,1.8497670057719917e+24,0.0,0
187.05035653710365,1624814.8938913345,20,172644,1.9966693815852346e+24,0.0,0
208.07819779217243,1625022.9720891267,22,172666,1.8826905528334852e+24,0.0,0
195.98494014143944,1625218.9570292681,21,172687,1.7689412995763406e+24,0.0,0
196.0207262635231,1625414.9777555317,21,172708,1.904105493320805e+24,0.0,0
176.37614330649376,1625591.3538988382,19,172727,1.9322552247772858e+24,0.0,0
176.62982121109962,1625767.9837200493,19,172746,1.945472893366851e+24,0.0,0
239.62790869176388,1626007.611628741,25,172771,1.6172893195096817e+24,0.0,0
197.95336554944515,1626205.5649942905,21,172792,1.6667835191265133e+24,0.0,0
165.6468684375286,1626371.211862728,18,172810,1.8537445849628853e+24,0.0,0
176.68662770092487,1626547.898490429,19,172829,1.8409594060527357e+24,0.0,0
218.83394914865494,1626766.7324395776,23,172852,1.5937247568770223e+24,0.0,0
218.4932919293642,1626985.225731507,23,172875,1.8171969732668483e+24,0.0,0
186.50717982649803,1627171.7329113334,20,172895,1.867419242813839e+24,0.0,0
187.02010722458363,1627358.753018558,20,172915,1.6991135998435104e+24,0.0,0
186.8310368359089,1627545.584055394,20,172935,1.7821284157460337e+24,0.0,0
239.0378879159689,1627784.62194331,25,172960,1.5949224982051208e+24,0.0,0
207.3006762713194,1627991.9226195812,22,172982,1.7313432322744186e+24,0.0,0
207.93516805768013,1628199.857787639,22,173004,1.7821284157460337e+24,0.0,0
218.3516290485859,1628418.2094166875,23,173027,1.6905876012017547e+24,0.0,0
218.67464305460453,1628636.884059742,23,173050,1.7390634828996422e+24,0.0,0
