x,y
34,49
17,59
48,33
21,33
48,3
34,23
65,13
83,16
83,56
78,29
48,16
48,3
0,39
4,43
43,36
0,53
13,36
4,59
26,53
0,36
43,63
39,0
69,63
78,3
48,29
83,49
56,59
65,3
69,49
61,9
4,43
26,16
39,13
56,46
83,56
83,26
74,19
78,13
39,3
56,33
34,53
39,43
48,3
74,29
61,53
83,56
17,0
56,49
65,6
43,46
78,56
78,39
39,63
78,46
21,16
13,63
69,23
48,3
78,19
43,49
4,9
30,16
30,39
26,19
4,19
34,49
83,49
39,6
69,56
30,0
78,19
48,6
34,43
43,59
26,23
78,23
39,26
30,56
26,0
39,43
39,16
39,53
48,43
43,0
56,46
0,36
26,13
26,56
34,26
4,13
34,46
34,23
69,39
83,26
43,53
13,59
52,43
65,16
13,26
39,13
39,16
13,59
43,43
78,29
26,3
17,63
48,56
30,6
52,49
48,0
21,49
21,36
0,33
69,49
8,53
56,26
39,26
74,46
74,39
8,9
61,0
61,56
56,26
30,16
26,16
74,56
0,23
78,43
74,59
56,19
26,39
78,49
30,36
52,46
78,36
78,46
0,6
4,23
30,0
61,26
21,56
39,13
52,43
13,13
26,23
8,43
4,56
83,59
0,49
78,49
30,26
69,46
26,39
56,53
26,19
43,49
30,53
65,63
83,49
61,3
34,39
17,56
43,9
74,63
17,16
34,63
52,59
48,56
48,43
39,29
13,16
52,9
21,43
0,63
74,23
13,23
13,9
43,53
65,26
74,63
4,56
17,59
21,6
61,13
4,3
52,46
69,13
69,3
34,6
26,9
17,39
61,3
8,26
65,53
69,6
34,29
56,43
26,29
17,59
43,19
78,16
56,6
74,13
83,53
34,26
43,53
21,0
17,23
52,29
21,56
26,56
61,3
21,39
74,56
69,39
61,6
17,56
78,6
13,43
48,3
34,13
39,36
65,9
4,59
43,29
61,33
34,3
61,9
4,3
8,9
0,26
74,26
0,43
34,43
69,3
8,36
21,6
13,23
43,26
21,0
0,33
17,23
26,53
30,59
52,49
39,26
43,9
65,29
65,3
39,29
4,26
61,63
13,36
52,46
4,3
61,59
43,53
17,26
56,9
8,16
48,23
30,13
69,26
13,39
8,46
30,36
43,16
43,6
4,29
4,59
43,6
78,36
4,59
8,13
39,56
0,19
21,39
34,26
48,53
52,59
4,39
4,43
21,46
69,39
48,36
34,46
65,36
78,26
8,53
78,19
78,36
17,19
56,16
39,6
52,13
78,13
43,33
17,9
48,0
56,56
21,36
26,39
0,33
56,53
78,9
39,13
39,56
34,0
39,16
13,53
56,16
65,53
0,46
65,49
83,0
21,6
61,39
43,33
4,53
8,39
26,9
43,3
4,9
17,9
34,9
69,33
39,46
48,43
43,33
61,49
83,39
21,6
0,43
30,63
43,29
69,63
39,29
21,9
39,43
13,0
74,9
8,36
21,23
69,16
4,39
69,0
52,46
78,63
78,33
26,0
61,53
8,56
17,26
21,56
48,39
48,3
65,0
8,6
83,49
13,33
83,56
61,0
48,6
56,0
83,29
4,36
30,43
4,53
78,9
69,49
0,16
74,56
21,3
13,9
43,29
13,43
43,9
21,43
21,53
30,9
0,59
83,33
30,9
4,46
52,49
17,43
78,13
26,16
0,6
34,23
52,6
65,33
61,6
30,43
13,9
0,6
43,9
8,49
69,13
8,13
39,23
61,3
43,36
69,63
78,39
8,33
34,63
39,49
52,3
34,63
39,9
21,43
30,59
61,0
21,53
83,36
78,3
8,63
13,6
30,49
39,49
61,43
34,43
4,16
74,36
39,9
30,43
8,23
74,49
39,39
48,23
78,33
61,26
13,29
69,46
17,56
34,46
30,46
34,0
56,63
43,46
83,46
48,43
0,36
78,46
4,43
65,16
26,3
74,16
0,39
4,29
65,59
34,43
69,29
26,43
13,3
43,53
43,3
34,56
56,43
34,13
39,6
0,0
83,19
0,23
30,3
78,29
56,29
26,0
48,26
69,63
8,6
83,3
4,46
30,56
26,19
43,16
69,16
34,19
13,9
13,23
39,3
4,43
43,59
26,26
39,39
56,56
43,19
74,56
34,53
65,59
30,59
83,26
74,36
13,53
17,36
21,26
61,19
21,13
69,53
30,49
65,13
43,36
61,53
52,53
4,0
21,43
30,33
83,49
78,49
78,46
83,6
34,36
65,63
26,9
0,49
8,39
43,6
4,9
34,63
13,26
8,19
61,46
17,16
39,6
30,0
61,9
74,0
26,19
34,43
17,29
74,63
48,39
43,26
69,16
30,29
39,46
39,43
4,23
4,43
4,29
4,16
61,9
74,26
17,56
61,16
61,56
83,29
21,0
30,56
30,33
39,53
13,19
8,29
21,46
48,23
78,26
61,59
74,43
26,59
34,26
78,33
56,0
34,49
69,13
4,29
26,16
26,43
78,26
21,3
48,6
13,3
65,39
30,33
4,36
74,39
34,46
30,49
65,13
48,43
56,46
0,16
13,63
39,36
61,36
4,0
21,3
21,26
69,29
21,23
26,49
83,33
8,3
4,26
43,33
48,19
48,59
52,56
83,23
17,23
78,43
30,43
17,56
17,33
69,9
69,39
39,26
43,0
0,43
61,59
83,49
39,9
78,59
56,13
34,13
8,19
8,6
65,26
0,23
39,39
52,43
21,49
0,43
43,19
34,9
4,56
52,56
30,29
21,63
65,46
69,16
30,53
34,3
21,39
69,16
8,33
39,59
56,63
0,39
52,3
17,49
52,26
78,26
21,49
34,9
30,9
13,49
65,29
52,46
52,36
56,9
4,49
13,56
13,19
78,56
30,53
4,3
52,59
26,36
65,6
17,29
78,13
21,49
0,49
0,26
78,39
17,13
48,6
78,56
69,19
39,33
52,39
21,29
39,43
8,63
56,13
52,23
48,59
61,23
78,19
8,46
69,19
78,23
4,26
39,26
65,13
56,36
61,36
74,39
48,39
26,43
74,59
39,13
48,46
61,53
21,9
83,26
34,9
13,26
8,0
21,33
13,0
78,33
21,3
13,53
48,43
13,49
61,19
65,29
83,26
8,26
52,6
74,16
78,13
17,3
69,26
74,29
56,23
56,3
48,59
52,63
0,33
65,63
65,6
26,36
26,13
65,59
69,19
61,6
74,59
83,43
8,19
74,39
74,63
39,3
52,9
26,56
39,29
83,0
48,59
43,56
17,63
34,39
43,9
4,23
0,59
48,9
17,16
34,29
83,23
