pseudo reward per epoch,reward per epoch,cumulative reward
-83.93979999999999,0,120.0
-54.207800000000006,0,120.0
-70.62190000000004,0,120.0
-97.66899999999984,0,120.0
-67.17490000000002,2,122.0
-95.78059999999999,0,122.0
-123.8943,0,122.0
-46.50650000000001,2,124.0
-63.42540000000007,2,126.0
-97.75239999999997,0,126.0
-75.09440000000001,0,126.0
-72.03730000000002,0,126.0
-73.49509999999995,0,126.0
-73.56370000000003,0,126.0
-56.06890000000001,2,128.0
-107.52040000000004,0,128.0
-85.21599999999988,0,128.0
-49.150999999999975,0,128.0
-134.51790000000005,0,128.0
-70.81380000000003,0,128.0
-79.86329999999997,0,128.0
-59.617599999999996,0,128.0
-70.61299999999997,0,128.0
-94.42160000000044,1,129.0
-79.54920000000001,0,129.0
-45.21800000000002,1,130.0
-93.90500000000004,0,130.0
-70.76340000000005,0,130.0
-70.15599999999993,0,130.0
-95.10279999999987,0,130.0
-65.33640000000005,0,130.0
-70.84310000000004,0,130.0
-60.53939999999997,3,133.0
-79.8177999999996,0,133.0
-117.46650000000028,0,133.0
-58.43920000000005,0,133.0
-98.29789999999996,1,134.0
-44.277700000000024,1,135.0
-74.3938000000001,0,135.0
-74.7942000000001,0,135.0
-67.20709999999985,0,135.0
-71.75160000000004,0,135.0
-108.90709999999994,0,135.0
-73.53279999999998,0,135.0
-94.22039999999998,2,137.0
-41.93199999999999,0,137.0
-69.47009999999996,1,138.0
-63.810699999999976,1,139.0
-54.05269999999998,2,141.0
-92.16139999999996,0,141.0
-132.5976999999999,0,141.0
-54.42070000000002,0,141.0
-121.12059999999988,0,141.0
-110.02599999999991,0,141.0
-58.89990000000003,0,141.0
-126.03949999999993,0,141.0
-70.50840000000001,0,141.0
-86.77229999999996,0,141.0
-92.45069999999998,0,141.0
-76.06420000000003,1,142.0
-80.07690000000004,0,142.0
-97.01759999999994,0,142.0
-40.200899999999976,0,142.0
-62.409500000000264,0,142.0
-113.21320000000003,0,142.0
-69.95049999999999,0,142.0
-62.223699999999965,1,143.0
-46.258599999999916,0,143.0
-75.76440000000011,0,143.0
-67.72699999999999,0,143.0
-65.49950000000003,1,144.0
-56.52419999999995,2,146.0
-52.51710000000001,1,147.0
-73.6842,0,147.0
-78.8599,0,147.0
-61.132299999999965,1,148.0
-131.97630000000012,0,148.0
-104.38920000000002,1,149.0
-135.88309999999987,0,149.0
-65.98319999999994,0,149.0
-68.00560000000002,1,150.0
-91.74419999999996,0,150.0
-83.89010000000006,0,150.0
-45.94359999999989,0,150.0
-140.10140000000015,1,151.0
-56.1915,1,152.0
-72.2356,0,152.0
-47.82889999999997,0,152.0
-67.03960000000002,0,152.0
-70.52610000000003,0,152.0
-60.60349999999999,0,152.0
-50.96860000000007,2,154.0
-54.44960000000003,1,155.0
-80.54259999999977,0,155.0
-67.0211,1,156.0
-75.12010000000004,1,157.0
-106.26399999999995,1,158.0
-83.70600000000013,1,159.0
-71.05679999999995,0,159.0
-90.7785999999999,0,159.0
-137.36729999999991,1,160.0
-39.54610000000001,0,160.0
-58.7729,0,160.0
-141.3789999999999,0,160.0
-91.80759999999997,0,160.0
-66.61410000000002,1,161.0
-73.93470000000006,0,161.0
-88.79500000000012,1,162.0
-78.08950000000003,0,162.0
-89.90259999999992,0,162.0
-60.24200000000005,0,162.0
-72.20179999999995,0,162.0
-45.88499999999996,0,162.0
-85.24699999999974,1,163.0
-70.40800000000002,0,163.0
-69.81429999999997,0,163.0
-69.55839999999993,1,164.0
